V1	V2
SPADES.k25.NODE_11785_length_3232_cov_64.500468_g4921_i1	GO:0001669,GO:0003707,GO:0005509,GO:0005730,GO:0005737,GO:0005813,GO:0005814,GO:0005815,GO:0007340,GO:0008017,GO:0008126,GO:0009611,GO:0015031,GO:0016021,GO:0016298,GO:0016788,GO:0030336,GO:0030474,GO:0031683,GO:0032391,GO:0032570,GO:0033878,GO:0034338,GO:0035869,GO:0036064,GO:0036126,GO:0042562,GO:0043401,GO:0044255,GO:0044615,GO:0046464,GO:0047372,GO:0048240,GO:0051028,GO:0051301,GO:0070390,GO:0097524
SPADES.k25.NODE_148775_length_777_cov_25.023936_g96127_i0	GO:0003779,GO:0005509,GO:0005515,GO:0005623,GO:0005925,GO:0007016,GO:0030018,GO:0031532,GO:0045214,GO:0051015,GO:0051017
SPADES.k25.NODE_14886_length_2935_cov_12.894502_g7736_i0	GO:0005509,GO:0009986,GO:0043031,GO:0050728,GO:0098978,GO:0098982,GO:0099061,GO:0099560,GO:1905606
SPADES.k25.NODE_149086_length_776_cov_10.318242_g96368_i0	GO:0004089,GO:0005737,GO:0005886,GO:0008270
SPADES.k25.NODE_166102_length_714_cov_22.473149_g110066_i0	GO:0005509,GO:0005615,GO:0005783,GO:0005788,GO:0005789,GO:0006457,GO:0012505,GO:0030246,GO:0030431,GO:0030968,GO:0042048,GO:0045169,GO:0051082
SPADES.k25.NODE_16906_length_2778_cov_16.224119_g368_i4	GO:0005509,GO:0005515,GO:0005576,GO:0005604,GO:0005887,GO:0005938,GO:0007049,GO:0007156,GO:0007157,GO:0007162,GO:0007411,GO:0007416,GO:0007626,GO:0009617,GO:0010842,GO:0030017,GO:0030054,GO:0030425,GO:0030426,GO:0032154,GO:0038023,GO:0042327,GO:0042803,GO:0043025,GO:0045202,GO:0048813,GO:0048842,GO:0050839,GO:0051301,GO:0060060,GO:0060219,GO:0062023,GO:0070593,GO:1990782,GO:1990890
SPADES.k25.NODE_171901_length_696_cov_14.113264_g114782_i0	GO:0001726,GO:0001774,GO:0001891,GO:0001934,GO:0005509,GO:0005634,GO:0005737,GO:0005829,GO:0005884,GO:0006911,GO:0006954,GO:0008284,GO:0010468,GO:0010629,GO:0014739,GO:0016601,GO:0021549,GO:0030027,GO:0030041,GO:0030046,GO:0030335,GO:0031668,GO:0032587,GO:0032870,GO:0034599,GO:0042102,GO:0042995,GO:0043066,GO:0043204,GO:0045429,GO:0048471,GO:0048661,GO:0048662,GO:0048678,GO:0050921,GO:0051015,GO:0051017,GO:0051384,GO:0051602,GO:0051764,GO:0071315,GO:0071346,GO:0071447,GO:0071672,GO:0071673,GO:0071677,GO:0090026,GO:0090197,GO:0090271,GO:0097178,GO:1900087,GO:2000406,GO:2000778
SPADES.k25.NODE_2493_length_5523_cov_46.400146_g1327_i1	GO:0000082,GO:0000209,GO:0004842,GO:0005000,GO:0005262,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0006511,GO:0006970,GO:0016032,GO:0016567,GO:0019005,GO:0021799,GO:0021942,GO:0031146,GO:0031461,GO:0031466,GO:0031625,GO:0038023,GO:0038128,GO:0043161,GO:0043687,GO:0046982,GO:0051480,GO:0090734,GO:0097193
SPADES.k25.NODE_25433_length_2308_cov_53.976785_g13389_i0	GO:0003756,GO:0005509,GO:0005623,GO:0005783,GO:0005788,GO:0005886,GO:0042470,GO:0045454,GO:0046982
SPADES.k25.NODE_25907_length_2287_cov_8.687887_g13656_i0	GO:0000287,GO:0004672,GO:0004674,GO:0005524,GO:0005634,GO:0005737,GO:0006468,GO:0035556
SPADES.k25.NODE_29202_length_2160_cov_70.562061_g1666_i2	GO:0005245,GO:0005509,GO:0005891,GO:0034765
SPADES.k25.NODE_2988_length_5221_cov_48.319092_g1666_i0	GO:0005216,GO:0005245,GO:0005509,GO:0005891,GO:0006811,GO:0016020,GO:0034765,GO:0055085
SPADES.k25.NODE_31855_length_2069_cov_63.870352_g16956_i0	GO:0005509
SPADES.k25.NODE_351813_length_394_cov_9.308943_g281097_i0	GO:0000287,GO:0001516,GO:0004364,GO:0004667,GO:0005509,GO:0005515,GO:0005654,GO:0005829,GO:0006693,GO:0006749,GO:0042803,GO:2000255
SPADES.k25.NODE_42348_length_1785_cov_34.897727_g21923_i1	GO:0003779,GO:0005509,GO:0005515
SPADES.k25.NODE_4695_length_4525_cov_60.727778_g2527_i0	GO:0003995,GO:0005262,GO:0005739,GO:0005759,GO:0005829,GO:0006635,GO:0016021,GO:0016627,GO:0030054,GO:0030285,GO:0035212,GO:0042802,GO:0043525,GO:0044214,GO:0046530,GO:0048488,GO:0050660,GO:0051793,GO:0055114,GO:0070991,GO:0099533,GO:0150007,GO:0150008
SPADES.k25.NODE_53180_length_1569_cov_11.703368_g19435_i1	GO:0001764,GO:0004930,GO:0005509,GO:0005887,GO:0005911,GO:0007166,GO:0007186,GO:0007189,GO:0007416,GO:0007420,GO:0016021,GO:0030246,GO:0030424,GO:0031987,GO:0042220,GO:0051965,GO:0098742,GO:0098978
SPADES.k25.NODE_59834_length_1461_cov_46.643454_g8008_i5	GO:0000159,GO:0001754,GO:0005509,GO:0006470,GO:0007525,GO:0019888,GO:0030674,GO:0045732,GO:0061053,GO:0090090,GO:0090244,GO:0090249,GO:0090263
SPADES.k25.NODE_76525_length_1251_cov_4.916803_g44155_i0	GO:0001938,GO:0001968,GO:0005178,GO:0005509,GO:0005518,GO:0005604,GO:0005615,GO:0005783,GO:0006986,GO:0007399,GO:0008083,GO:0008201,GO:0016525,GO:0016529,GO:0031012,GO:0031594,GO:0034103,GO:0034976,GO:0042802,GO:0043237,GO:0048266,GO:0048771,GO:0048812,GO:0050731,GO:0051451,GO:0051781,GO:0062023,GO:0071603,GO:0090023
SPADES.k25.NODE_777_length_7474_cov_17.225802_g467_i0	GO:0001518,GO:0005216,GO:0005244,GO:0005248,GO:0005261,GO:0005886,GO:0005887,GO:0005891,GO:0006811,GO:0006936,GO:0007517,GO:0007520,GO:0008016,GO:0008332,GO:0016020,GO:0016021,GO:0019228,GO:0032342,GO:0032870,GO:0034651,GO:0034765,GO:0035865,GO:0042391,GO:0043005,GO:0045956,GO:0046872,GO:0055085,GO:0070509,GO:0086010,GO:0097110,GO:0098662,GO:2000344
SPADES.k25.NODE_82209_length_1192_cov_29.055698_g47780_i0	GO:0000287,GO:0004450,GO:0005739,GO:0006097,GO:0006099,GO:0006102,GO:0006103,GO:0006739,GO:0016616,GO:0051287,GO:0055114
SPADES.k25.NODE_9442_length_3532_cov_15.623325_g4930_i0	GO:0001755,GO:0001778,GO:0001786,GO:0003418,GO:0005262,GO:0005509,GO:0005525,GO:0005544,GO:0005739,GO:0005925,GO:0006937,GO:0015276,GO:0015485,GO:0031982,GO:0034704,GO:0035374,GO:0042470,GO:0051015,GO:0051283,GO:0051560,GO:0055074,GO:0097190
SPADES.k31.NODE_11363_length_3042_cov_42.918300_g6351_i0	GO:0000281,GO:0000922,GO:0005509,GO:0005813,GO:0005930,GO:0007052,GO:0008022,GO:0021795,GO:0043014,GO:0043025,GO:0051302,GO:0060285,GO:0072686
SPADES.k31.NODE_12031_length_2976_cov_46.544652_g4236_i1	GO:0002162,GO:0004867,GO:0005509,GO:0005515,GO:0005539,GO:0005576,GO:0005604,GO:0005615,GO:0005886,GO:0007158,GO:0007213,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0007528,GO:0008201,GO:0010977,GO:0016021,GO:0030054,GO:0030154,GO:0030297,GO:0030424,GO:0030548,GO:0031012,GO:0031532,GO:0031594,GO:0033691,GO:0035374,GO:0038023,GO:0043113,GO:0043236,GO:0043237,GO:0043395,GO:0043547,GO:0045121,GO:0045178,GO:0045202,GO:0045887,GO:0045944,GO:0046847,GO:0050840,GO:0051491,GO:0071340,GO:0098684,GO:0098965,GO:0098978,GO:1902572
SPADES.k31.NODE_13215_length_2864_cov_29.892693_g3679_i1	GO:0005216,GO:0005245,GO:0005509,GO:0005891,GO:0006811,GO:0016020,GO:0034765,GO:0055085
SPADES.k31.NODE_147482_length_680_cov_6.536210_g96925_i0	GO:0005509,GO:0005887,GO:0007155,GO:0007156,GO:0016020,GO:0042802
SPADES.k31.NODE_14859_length_2729_cov_32.691623_g8261_i0	GO:0001525,GO:0001935,GO:0005509,GO:0005783,GO:0005789,GO:0005886,GO:0006915,GO:0006952,GO:0015252,GO:0016175,GO:0016491,GO:0020037,GO:0034599,GO:0042554,GO:0043012,GO:0043020,GO:0050660,GO:0050661,GO:0050663,GO:0055114,GO:0061640,GO:1902600,GO:2000379
SPADES.k31.NODE_173823_length_602_cov_30.159370_g118864_i0	GO:0005509,GO:0042803
SPADES.k31.NODE_31855_length_1915_cov_35.981953_g1157_i2	GO:0000287,GO:0003677,GO:0004518,GO:0004523,GO:0005634,GO:0005654,GO:0005730,GO:0005739,GO:0006260,GO:0006284,GO:0008409,GO:0017108,GO:0030145,GO:0043137,GO:0048256
SPADES.k31.NODE_3283_length_4728_cov_23.777305_g1901_i0	GO:0003429,GO:0005201,GO:0005509,GO:0005615,GO:0031012,GO:0062023
SPADES.k31.NODE_406_length_8240_cov_51.652333_g239_i1	GO:0005509,GO:0005576,GO:0007155,GO:0008201,GO:0060231,GO:0061053,GO:0062023
SPADES.k31.NODE_71955_length_1168_cov_30.920844_g42202_i0	GO:0000139,GO:0000149,GO:0000165,GO:0000186,GO:0000187,GO:0000287,GO:0001933,GO:0001934,GO:0003779,GO:0003924,GO:0004672,GO:0004674,GO:0004708,GO:0005096,GO:0005524,GO:0005525,GO:0005615,GO:0005623,GO:0005654,GO:0005737,GO:0005739,GO:0005741,GO:0005743,GO:0005759,GO:0005764,GO:0005768,GO:0005783,GO:0005789,GO:0005794,GO:0005798,GO:0005802,GO:0005829,GO:0005886,GO:0005902,GO:0006468,GO:0006606,GO:0006897,GO:0006914,GO:0006979,GO:0007005,GO:0007029,GO:0007030,GO:0007040,GO:0007283,GO:0007528,GO:0008017,GO:0008340,GO:0009267,GO:0010506,GO:0010508,GO:0010738,GO:0010955,GO:0010977,GO:0014041,GO:0015631,GO:0016234,GO:0016242,GO:0016301,GO:0016310,GO:0017048,GO:0017075,GO:0018105,GO:0018107,GO:0019722,GO:0021756,GO:0021772,GO:0022028,GO:0030054,GO:0030159,GO:0030276,GO:0030424,GO:0030425,GO:0030426,GO:0030672,GO:0031398,GO:0031410,GO:0031647,GO:0031966,GO:0032091,GO:0032092,GO:0032436,GO:0032473,GO:0032839,GO:0034211,GO:0034260,GO:0034599,GO:0034613,GO:0035556,GO:0035564,GO:0035640,GO:0035641,GO:0035751,GO:0036479,GO:0039706,GO:0040012,GO:0042391,GO:0042802,GO:0042803,GO:0043005,GO:0043025,GO:0043068,GO:0043195,GO:0043204,GO:0043231,GO:0043406,GO:0044325,GO:0044753,GO:0044754,GO:0045121,GO:0046039,GO:0046777,GO:0048312,GO:0048812,GO:0051018,GO:0051646,GO:0051770,GO:0051900,GO:0051966,GO:0060070,GO:0060079,GO:0060159,GO:0060161,GO:0060628,GO:0060828,GO:0061001,GO:0070062,GO:0070585,GO:0070971,GO:0070973,GO:0070997,GO:0071287,GO:0072593,GO:0090140,GO:0090263,GO:0090394,GO:0097487,GO:0098794,GO:0098978,GO:0099400,GO:0099523,GO:0140058,GO:1900244,GO:1901214,GO:1901215,GO:1901727,GO:1902236,GO:1902499,GO:1902692,GO:1902803,GO:1902823,GO:1902902,GO:1903125,GO:1903206,GO:1903215,GO:1903217,GO:1903351,GO:1903980,GO:1904469,GO:1904713,GO:1904887,GO:1905279,GO:1905289,GO:1990904,GO:1990909,GO:2000172,GO:2000300
SPADES.k35.NODE_14534_length_2500_cov_35.663692_g8083_i0	GO:0005506,GO:0005509,GO:0005783,GO:0005789,GO:0016021,GO:0016491,GO:0016706,GO:0018401,GO:0031418,GO:0045646,GO:0055114
SPADES.k35.NODE_152806_length_611_cov_18.151042_g97812_i0	GO:0005509,GO:0016459
SPADES.k35.NODE_2052_length_4911_cov_32.025226_g1191_i0	GO:0000287,GO:0003923,GO:0004451,GO:0005789,GO:0005975,GO:0006097,GO:0006099,GO:0016020,GO:0016255,GO:0019213,GO:0019752,GO:0042765,GO:0046872
SPADES.k35.NODE_5542_length_3558_cov_38.021005_g1503_i3	GO:0000030,GO:0004169,GO:0005515,GO:0005783,GO:0005789,GO:0016021,GO:0035269,GO:0055074
SPADES.k35.NODE_6277_length_3407_cov_25.565836_g3241_i2	GO:0000049,GO:0000287,GO:0005524,GO:0005737,GO:0016021,GO:0016783,GO:0034227,GO:0051539
SPADES.k35.NODE_69336_length_1110_cov_14.600930_g29058_i2	GO:0000228,GO:0000287,GO:0001649,GO:0005524,GO:0005634,GO:0005737,GO:0007140,GO:0008568,GO:0010569,GO:0016787,GO:0016887,GO:0031122,GO:0033687,GO:0043066,GO:0046034,GO:0048471,GO:0051726,GO:0071479,GO:2001243
TRINITY_DN122898_c1_g1_i4	GO:0005509,GO:0007160,GO:0016021
TRINITY_DN13996_c0_g1_i13	GO:0000049,GO:0000287,GO:0005524,GO:0005737,GO:0009058,GO:0016783,GO:0030170,GO:0034227,GO:0051539
TRINITY_DN16061_c0_g1_i7	GO:0005201,GO:0005509,GO:0005604,GO:0005938,GO:0007049,GO:0007154,GO:0007156,GO:0007157,GO:0007601,GO:0009617,GO:0016021,GO:0030054,GO:0032154,GO:0038023,GO:0042803,GO:0050839,GO:0051301,GO:0062023,GO:0070062
TRINITY_DN25655_c0_g1_i1	GO:0005178,GO:0005509,GO:0005515,GO:0005576,GO:0005614,GO:0007155,GO:0007160,GO:0008201,GO:0010811,GO:0030198,GO:0031012,GO:0060231,GO:0061053,GO:0062023,GO:0070052
TRINITY_DN257471_c0_g1_i1	GO:0005509,GO:0005515,GO:0019722
TRINITY_DN25890_c0_g1_i2	GO:0005509
TRINITY_DN3841_c0_g1_i1	GO:0000287,GO:0004427,GO:0005634,GO:0005737,GO:0006338,GO:0006351,GO:0006796,GO:0016589,GO:0035076,GO:0035206,GO:0042766
TRINITY_DN3841_c0_g2_i1	GO:0000287,GO:0004427,GO:0005634,GO:0005737,GO:0006338,GO:0006351,GO:0006796,GO:0016589,GO:0035076,GO:0035206,GO:0042766
TRINITY_DN44123_c0_g1_i6	GO:0001701,GO:0001726,GO:0004435,GO:0005158,GO:0005168,GO:0005509,GO:0005515,GO:0005623,GO:0005737,GO:0005886,GO:0005911,GO:0006629,GO:0006816,GO:0007165,GO:0007173,GO:0008180,GO:0009306,GO:0009395,GO:0009629,GO:0010243,GO:0010634,GO:0016477,GO:0019722,GO:0019901,GO:0030027,GO:0030136,GO:0030971,GO:0032959,GO:0035254,GO:0035556,GO:0042542,GO:0042995,GO:0043278,GO:0043536,GO:0045766,GO:0048015,GO:0050804,GO:0050852,GO:0051209,GO:0051219,GO:0051281,GO:0071364,GO:0098685,GO:0098978,GO:1901339,GO:1905564,GO:2000353
TRINITY_DN4824_c0_g1_i5	GO:0000151,GO:0000287,GO:0003351,GO:0004016,GO:0005524,GO:0005576,GO:0005634,GO:0005737,GO:0005856,GO:0005886,GO:0005929,GO:0006171,GO:0007165,GO:0007283,GO:0008270,GO:0009190,GO:0016567,GO:0016849,GO:0035556,GO:0048471,GO:0048592,GO:0061630,GO:0071241,GO:0071596,GO:0071890
TRINITY_DN51420_c0_g1_i5	GO:0004930,GO:0005509,GO:0005886,GO:0005887,GO:0007166,GO:0007186,GO:0007189,GO:0016021
TRINITY_DN62427_c0_g1_i11	GO:0005509,GO:0046872
TransABySS.k25.R1411339	GO:0004252,GO:0005509,GO:0005576,GO:0006508,GO:0016020
TransABySS.k31.J865921	GO:0000149,GO:0001786,GO:0005509,GO:0005544,GO:0005623,GO:0005794,GO:0005886,GO:0006906,GO:0007269,GO:0007420,GO:0007613,GO:0014049,GO:0014059,GO:0016021,GO:0016192,GO:0017075,GO:0017156,GO:0017158,GO:0019905,GO:0030100,GO:0030276,GO:0030348,GO:0030424,GO:0030425,GO:0030667,GO:0031045,GO:0031338,GO:0031339,GO:0031982,GO:0033604,GO:0036477,GO:0042803,GO:0043005,GO:0043025,GO:0043231,GO:0044306,GO:0045202,GO:0045955,GO:0046929,GO:0046982,GO:0048174,GO:0048471,GO:0048489,GO:0050709,GO:0061782,GO:0061792,GO:0070382,GO:0071277,GO:0097449,GO:0098675,GO:0098793,GO:0098794,GO:0098978,GO:0098992,GO:0099066,GO:0099161,GO:0099183,GO:0099519,GO:1903861,GO:1905414,GO:1905415,GO:1905433,GO:1990742,GO:2000301
TransABySS.k31.S569574	GO:0001580,GO:0005261,GO:0005262,GO:0005886,GO:0006812,GO:0006816,GO:0007602,GO:0007638,GO:0009408,GO:0009416,GO:0010378,GO:0015276,GO:0016021,GO:0023041,GO:0034605,GO:0034703,GO:0040040,GO:0043052,GO:0046957,GO:0050850,GO:0050960,GO:0050965,GO:0050968,GO:0097604
TransABySS.k31.S867452	GO:0001580,GO:0005216,GO:0005261,GO:0005262,GO:0005515,GO:0005886,GO:0006811,GO:0006812,GO:0006816,GO:0007602,GO:0007638,GO:0009408,GO:0009416,GO:0010378,GO:0015276,GO:0016020,GO:0016021,GO:0023041,GO:0034605,GO:0034703,GO:0040040,GO:0043052,GO:0046957,GO:0050850,GO:0050960,GO:0050965,GO:0050968,GO:0055085,GO:0097604
TransABySS.k35.R598104	GO:0000922,GO:0005509,GO:0005615,GO:0005794,GO:0005929,GO:0007157,GO:0007159,GO:0007588,GO:0016323,GO:0016324,GO:0019864,GO:0031225,GO:0031410,GO:0045121,GO:0045177,GO:0048878,GO:0050801,GO:0060170,GO:0072218,GO:0072221,GO:0072233,GO:1990266
TransABySS.k35.R611750	GO:0000122,GO:0001047,GO:0004175,GO:0004222,GO:0005509,GO:0005518,GO:0005576,GO:0005615,GO:0005634,GO:0005737,GO:0006508,GO:0006606,GO:0008270,GO:0022617,GO:0030198,GO:0030574,GO:0031012,GO:0035313,GO:0043565,GO:0045944,GO:0050691,GO:0060054,GO:0060309,GO:0060339,GO:0060340,GO:0098586,GO:1902741,GO:1904645,GO:1904905
TransABySS.k35.R618195	GO:0015095,GO:0015693,GO:0016020,GO:0016021
TransABySS.k35.S32621	GO:0001702,GO:0001843,GO:0002076,GO:0003139,GO:0003148,GO:0003223,GO:0005509,GO:0005515,GO:0005886,GO:0005905,GO:0006898,GO:0007605,GO:0008144,GO:0008584,GO:0009897,GO:0009952,GO:0015026,GO:0016021,GO:0016324,GO:0017124,GO:0017147,GO:0030001,GO:0030424,GO:0030425,GO:0030514,GO:0031526,GO:0031904,GO:0042632,GO:0042813,GO:0043235,GO:0045944,GO:0046849,GO:0048539,GO:0050769,GO:0051087,GO:0060068,GO:0060070,GO:0060349,GO:0060444,GO:0060612,GO:0060982,GO:0061156,GO:0061178,GO:0061304,GO:0070447,GO:0140058,GO:1904447,GO:1905167
Velvet.k31.NODE_591809_length_708_cov_49.485874	GO:0003824,GO:0004198,GO:0005509,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0006508,GO:0006915,GO:0007517,GO:0008233,GO:0008234,GO:0008307,GO:0014718,GO:0014850,GO:0030016,GO:0030018,GO:0030163,GO:0030239,GO:0030315,GO:0031402,GO:0031432,GO:0031648,GO:0032991,GO:0033234,GO:0043066,GO:0043122,GO:0045214,GO:0045661,GO:0045862,GO:0045892,GO:0045893,GO:0046716,GO:0050790,GO:0051092,GO:0051281,GO:0051592,GO:0055103,GO:0060090,GO:0061061,GO:0065003,GO:0070315,GO:0071277,GO:0071472,GO:0072657,GO:0097264,GO:1990092
Velvet.k35.NODE_175172_length_988_cov_38.369434	GO:0005509
Velvet.k35.NODE_3774_length_913_cov_48.280396	GO:0003779,GO:0005509,GO:0007527,GO:0010004,GO:0030239,GO:0051014,GO:0051015
